 5.2 0.40068E-04  0.33522E-04  0.24343E-04  0.22023E-04  0.36977E-05  0.32651E-07  0.23122E-10  0.21730E-16  0.14623E-24  0.00000E+00
 5.3 0.40862E-04  0.34934E-04  0.26241E-04  0.25357E-04  0.48685E-05  0.54936E-07  0.48093E-10  0.00000E+00  0.00000E+00  0.00000E+00
 5.4 0.41558E-04  0.36219E-04  0.28056E-04  0.28832E-04  0.62851E-05  0.91127E-07  0.12518E-09  0.36399E-15  0.99677E-23  0.49988E-35
 5.5 0.42167E-04  0.37377E-04  0.29770E-04  0.32411E-04  0.79740E-05  0.14455E-06  0.25121E-09  0.36101E-16  0.00000E+00  0.00000E+00
 5.6 0.42697E-04  0.38419E-04  0.31381E-04  0.36051E-04  0.99455E-05  0.22488E-06  0.56182E-09  0.45497E-14  0.44616E-21  0.15443E-32
 5.7 0.43158E-04  0.39349E-04  0.32877E-04  0.39710E-04  0.12220E-04  0.33834E-06  0.10706E-08  0.60760E-14  0.00000E+00  0.00000E+00
 5.8 0.43560E-04  0.40176E-04  0.34260E-04  0.43354E-04  0.14794E-04  0.49863E-06  0.21405E-08  0.44006E-13  0.13827E-19  0.28028E-30
 5.9 0.43910E-04  0.40909E-04  0.35528E-04  0.46943E-04  0.17677E-04  0.71577E-06  0.38584E-08  0.81283E-13  0.00000E+00  0.00000E+00
 6.0 0.44214E-04  0.41557E-04  0.36686E-04  0.50448E-04  0.20852E-04  0.10071E-05  0.70653E-08  0.33968E-12  0.30992E-18  0.31719E-28
 6.1 0.44480E-04  0.42127E-04  0.37734E-04  0.53840E-04  0.24318E-04  0.13867E-05  0.12059E-07  0.68507E-12  0.00000E+00  0.00000E+00
 6.2 0.44711E-04  0.42629E-04  0.38681E-04  0.57099E-04  0.28046E-04  0.18742E-05  0.20556E-07  0.21483E-11  0.52154E-17  0.23617E-26
 6.3 0.44915E-04  0.43068E-04  0.39532E-04  0.60203E-04  0.32021E-04  0.24872E-05  0.33331E-07  0.43685E-11  0.00000E+00  0.00000E+00
 6.4 0.45093E-04  0.43454E-04  0.40293E-04  0.63143E-04  0.36206E-04  0.32454E-05  0.53506E-07  0.11387E-10  0.68039E-16  0.12115E-24
 6.5 0.45251E-04  0.43793E-04  0.40972E-04  0.65905E-04  0.40575E-04  0.41688E-05  0.82755E-07  0.22591E-10  0.62515E-16  0.00000E+00
 6.6 0.45391E-04  0.44089E-04  0.41577E-04  0.68491E-04  0.45090E-04  0.52740E-05  0.12621E-06  0.51578E-10  0.70744E-15  0.44565E-23
 6.7 0.45517E-04  0.44350E-04  0.42112E-04  0.70891E-04  0.49717E-04  0.65810E-05  0.18699E-06  0.98449E-10  0.11165E-14  0.00000E+00
