  .34640E-02  .00000E+00  .40646E-04  .00000E+00
  .69280E-02  .47234E-03  .16206E-03  .16092E-03
  .10392E-01  .10267E-02  .36348E-03  .36064E-03
  .13856E-01  .17748E-02  .64412E-03  .63886E-03
  .17320E-01  .26887E-02  .10032E-02  .99485E-03
  .20784E-01  .38864E-02  .14400E-02  .14278E-02
  .24248E-01  .51781E-02  .19537E-02  .19369E-02
  .27712E-01  .67864E-02  .25436E-02  .25214E-02
  .31176E-01  .85108E-02  .32088E-02  .31808E-02
  .34640E-01  .10454E-01  .39487E-02  .39140E-02
  .38104E-01  .12599E-01  .47625E-02  .47205E-02
  .41568E-01  .14870E-01  .56494E-02  .55994E-02
  .45032E-01  .17422E-01  .66087E-02  .65501E-02
  .48496E-01  .20060E-01  .76396E-02  .75718E-02
  .51960E-01  .22960E-01  .87413E-02  .86636E-02
  .55424E-01  .25990E-01  .99133E-02  .98251E-02
  .58888E-01  .29194E-01  .11155E-01  .11055E-01
  .62352E-01  .32602E-01  .12465E-01  .12354E-01
  .65816E-01  .36102E-01  .13842E-01  .13720E-01
  .69280E-01  .39878E-01  .15288E-01  .15151E-01
  .72744E-01  .43730E-01  .16799E-01  .16649E-01
  .76208E-01  .47797E-01  .18376E-01  .18212E-01
  .79672E-01  .52001E-01  .20019E-01  .19840E-01
  .83136E-01  .56340E-01  .21725E-01  .21532E-01
  .86600E-01  .60884E-01  .23495E-01  .23287E-01
  .90064E-01  .65499E-01  .25328E-01  .25103E-01
  .93528E-01  .70361E-01  .27223E-01  .26981E-01
  .96992E-01  .75299E-01  .29179E-01  .28920E-01
  .10046E+00  .80406E-01  .31194E-01  .30920E-01
  .10392E+00  .85659E-01  .33273E-01  .32979E-01
  .10738E+00  .91018E-01  .35413E-01  .35097E-01
  .11085E+00  .96571E-01  .37604E-01  .37272E-01
  .11431E+00  .10219E+00  .39858E-01  .39505E-01
  .11778E+00  .10800E+00  .42164E-01  .41795E-01
  .12124E+00  .11390E+00  .44533E-01  .44140E-01
  .12470E+00  .11994E+00  .46959E-01  .46541E-01
  .12817E+00  .12612E+00  .49432E-01  .48998E-01
  .13163E+00  .13237E+00  .51965E-01  .51507E-01
  .13510E+00  .13881E+00  .54546E-01  .54070E-01
  .13856E+00  .14531E+00  .57188E-01  .56686E-01
  .14202E+00  .15197E+00  .59881E-01  .59353E-01
  .14549E+00  .15872E+00  .62618E-01  .62072E-01
  .14895E+00  .16557E+00  .65415E-01  .64841E-01
  .15242E+00  .17255E+00  .68254E-01  .67660E-01
  .15588E+00  .17959E+00  .71149E-01  .70529E-01
  .15934E+00  .18680E+00  .74094E-01  .73445E-01
  .16281E+00  .19406E+00  .77079E-01  .76410E-01
  .16627E+00  .20145E+00  .80121E-01  .79423E-01
  .16974E+00  .20893E+00  .83200E-01  .82481E-01
  .17320E+00  .21647E+00  .86334E-01  .85586E-01
  .17666E+00  .22415E+00  .89515E-01  .88736E-01
  .18013E+00  .23188E+00  .92730E-01  .91930E-01
  .18359E+00  .23974E+00  .96000E-01  .95169E-01
  .18706E+00  .24765E+00  .99303E-01  .98451E-01
  .19052E+00  .25566E+00  .10266E+00  .10177E+00
  .19398E+00  .26375E+00  .10605E+00  .10514E+00
  .19745E+00  .27189E+00  .10949E+00  .10855E+00
  .20091E+00  .28015E+00  .11297E+00  .11200E+00
  .20438E+00  .28845E+00  .11649E+00  .11549E+00
  .20784E+00  .29685E+00  .12004E+00  .11902E+00
  .21130E+00  .30530E+00  .12364E+00  .12258E+00
  .21477E+00  .31383E+00  .12728E+00  .12619E+00
  .21823E+00  .32243E+00  .13095E+00  .12984E+00
  .22170E+00  .33106E+00  .13466E+00  .13351E+00
  .22516E+00  .33981E+00  .13841E+00  .13723E+00
  .22862E+00  .34858E+00  .14219E+00  .14098E+00
  .23209E+00  .35741E+00  .14601E+00  .14477E+00
  .23555E+00  .36630E+00  .14986E+00  .14860E+00
  .23902E+00  .37525E+00  .15375E+00  .15245E+00
  .24248E+00  .38426E+00  .15767E+00  .15634E+00
  .24594E+00  .39329E+00  .16162E+00  .16026E+00
  .24941E+00  .40239E+00  .16561E+00  .16421E+00
  .25287E+00  .41152E+00  .16962E+00  .16820E+00
  .25634E+00  .42070E+00  .17367E+00  .17222E+00
  .25980E+00  .42993E+00  .17775E+00  .17626E+00
  .26326E+00  .43919E+00  .18186E+00  .18034E+00
  .26673E+00  .44850E+00  .18600E+00  .18445E+00
  .27019E+00  .45782E+00  .19016E+00  .18858E+00
  .27366E+00  .46720E+00  .19436E+00  .19275E+00
  .27712E+00  .47660E+00  .19858E+00  .19694E+00
  .28058E+00  .48603E+00  .20283E+00  .20115E+00
  .28405E+00  .49550E+00  .20711E+00  .20539E+00
  .28751E+00  .50499E+00  .21141E+00  .20966E+00
  .29098E+00  .51450E+00  .21573E+00  .21396E+00
  .29444E+00  .52403E+00  .22009E+00  .21827E+00
  .29790E+00  .53359E+00  .22447E+00  .22262E+00
  .30137E+00  .54317E+00  .22886E+00  .22698E+00
  .30483E+00  .55275E+00  .23328E+00  .23137E+00
  .30830E+00  .56236E+00  .23771E+00  .23578E+00
  .31176E+00  .57199E+00  .24219E+00  .24021E+00
  .31522E+00  .58162E+00  .24669E+00  .24467E+00
  .31869E+00  .59125E+00  .25118E+00  .24914E+00
  .32215E+00  .60092E+00  .25571E+00  .25364E+00
  .32562E+00  .61058E+00  .26025E+00  .25815E+00
  .32908E+00  .62025E+00  .26482E+00  .26268E+00
  .33254E+00  .62991E+00  .26942E+00  .26723E+00
  .33601E+00  .63957E+00  .27401E+00  .27180E+00
