 0.1000000E+00 -0.1000000E-10  0.9059566E-01  0.9071099E-01  0.9092093E-01  0.9066823E-01  0.9067743E-01  0.9062585E-01  0.9071086E-01
 0.1000000E+00 -0.9120109E-11  0.9053550E-01  0.9080542E-01  0.9082383E-01  0.9064334E-01  0.9062860E-01  0.9054837E-01  0.9067433E-01
 0.1000000E+00 -0.8317639E-11  0.9044313E-01  0.9091783E-01  0.9071875E-01  0.9060753E-01  0.9057482E-01  0.9045061E-01  0.9062883E-01
 0.1000000E+00 -0.7585777E-11  0.9037448E-01  0.9098510E-01  0.9063188E-01  0.9058324E-01  0.9048679E-01  0.9034286E-01  0.9057848E-01
 0.1000000E+00 -0.6918312E-11  0.9033706E-01  0.9099467E-01  0.9056938E-01  0.9053855E-01  0.9036952E-01  0.9017391E-01  0.9051160E-01
 0.1000000E+00 -0.6309576E-11  0.9033418E-01  0.9094305E-01  0.9052817E-01  0.9043504E-01  0.9026781E-01  0.9014322E-01  0.9045180E-01
 0.1000000E+00 -0.5754403E-11  0.9033494E-01  0.9087329E-01  0.9045238E-01  0.9036942E-01  0.9000501E-01  0.8997484E-01  0.9034519E-01
 0.1000000E+00 -0.5248078E-11  0.9033606E-01  0.9078104E-01  0.9041724E-01  0.9021143E-01  0.8991015E-01  0.8961195E-01  0.9022766E-01
 0.1000000E+00 -0.4786304E-11  0.9035376E-01  0.9066940E-01  0.9030279E-01  0.9000857E-01  0.8972669E-01  0.8949034E-01  0.9010062E-01
 0.1000000E+00 -0.4365162E-11  0.9038457E-01  0.9054355E-01  0.9019802E-01  0.8980124E-01  0.8942788E-01  0.8933295E-01  0.8994997E-01
 0.1000000E+00 -0.3981075E-11  0.9040940E-01  0.9043472E-01  0.9002578E-01  0.8956997E-01  0.8918447E-01  0.8893345E-01  0.8976022E-01
 0.1000000E+00 -0.3630784E-11  0.9041981E-01  0.9026446E-01  0.8978174E-01  0.8930820E-01  0.8889781E-01  0.8890508E-01  0.8958010E-01
 0.1000000E+00 -0.3311315E-11  0.9040315E-01  0.9012235E-01  0.8951233E-01  0.8901589E-01  0.8858738E-01  0.8847034E-01  0.8933180E-01
 0.1000000E+00 -0.3162278E-11  0.9041812E-01  0.9001242E-01  0.8944935E-01  0.8878233E-01  0.8852827E-01  0.8832097E-01  0.8922526E-01
 0.1000000E+00 -0.3019948E-11  0.9036355E-01  0.8994110E-01  0.8924691E-01  0.8869350E-01  0.8840001E-01  0.8821072E-01  0.8911251E-01
 0.1000000E+00 -0.2884032E-11  0.9034123E-01  0.8984451E-01  0.8922256E-01  0.8835910E-01  0.8821318E-01  0.8788579E-01  0.8894518E-01
 0.1000000E+00 -0.2754226E-11  0.9031079E-01  0.8974574E-01  0.8890559E-01  0.8823226E-01  0.8797260E-01  0.8792176E-01  0.8880074E-01
 0.1000000E+00 -0.2630268E-11  0.9021919E-01  0.8975235E-01  0.8859905E-01  0.8814215E-01  0.8772000E-01  0.8761108E-01  0.8862633E-01
 0.1000000E+00 -0.2511884E-11  0.9023827E-01  0.8960819E-01  0.8849961E-01  0.8781783E-01  0.8757428E-01  0.8716200E-01  0.8843452E-01
 0.1000000E+00 -0.2398834E-11  0.9012540E-01  0.8944966E-01  0.8838648E-01  0.8764821E-01  0.8729181E-01  0.8705796E-01  0.8827557E-01
 0.1000000E+00 -0.2290866E-11  0.9005868E-01  0.8925999E-01  0.8817146E-01  0.8754707E-01  0.8697138E-01  0.8656601E-01  0.8805287E-01
 0.1000000E+00 -0.2187762E-11  0.9007777E-01  0.8917717E-01  0.8788218E-01  0.8729335E-01  0.8677216E-01  0.8689722E-01  0.8794495E-01
