 0.1000000E+00 -0.1000000E-10  0.9069645E-01  0.9077229E-01
 0.1000000E+00 -0.9120109E-11  0.9066042E-01  0.9073830E-01
 0.1000000E+00 -0.8317639E-11  0.9061339E-01  0.9070165E-01
 0.1000000E+00 -0.7585777E-11  0.9056017E-01  0.9066294E-01
 0.1000000E+00 -0.6918312E-11  0.9048658E-01  0.9061765E-01
 0.1000000E+00 -0.6309576E-11  0.9040178E-01  0.9057017E-01
 0.1000000E+00 -0.5754403E-11  0.9029793E-01  0.9051149E-01
 0.1000000E+00 -0.5248078E-11  0.9017472E-01  0.9044003E-01
 0.1000000E+00 -0.4786304E-11  0.9001245E-01  0.9034921E-01
 0.1000000E+00 -0.4365162E-11  0.8986522E-01  0.9024665E-01
 0.1000000E+00 -0.3981075E-11  0.8964267E-01  0.9010905E-01
 0.1000000E+00 -0.3630784E-11  0.8946010E-01  0.8994526E-01
 0.1000000E+00 -0.3311315E-11  0.8924408E-01  0.8975826E-01
 0.1000000E+00 -0.3162278E-11  0.8910617E-01  0.8964802E-01
 0.1000000E+00 -0.3019948E-11  0.8898306E-01  0.8953275E-01
 0.1000000E+00 -0.2884032E-11  0.8883103E-01  0.8940497E-01
 0.1000000E+00 -0.2754226E-11  0.8870553E-01  0.8927096E-01
 0.1000000E+00 -0.2630268E-11  0.8851230E-01  0.8914157E-01
 0.1000000E+00 -0.2511884E-11  0.8831231E-01  0.8900366E-01
 0.1000000E+00 -0.2398834E-11  0.8814565E-01  0.8884168E-01
 0.1000000E+00 -0.2290866E-11  0.8789374E-01  0.8865863E-01
 0.1000000E+00 -0.2187762E-11  0.8777082E-01  0.8847725E-01
 0.1000000E+00 -0.2089295E-11  0.8756482E-01  0.8828563E-01
 0.1000000E+00 -0.1995263E-11  0.8741635E-01  0.8809414E-01
 0.1000000E+00 -0.1905460E-11  0.8719693E-01  0.8789814E-01
 0.1000000E+00 -0.1819702E-11  0.8707401E-01  0.8763952E-01
 0.1000000E+00 -0.1737800E-11  0.8675053E-01  0.8740541E-01
 0.1000000E+00 -0.1659588E-11  0.8655546E-01  0.8717886E-01
 0.1000000E+00 -0.1584892E-11  0.8617697E-01  0.8689556E-01
 0.1000000E+00 -0.1513562E-11  0.8593995E-01  0.8664662E-01
 0.1000000E+00 -0.1445439E-11  0.8568774E-01  0.8637056E-01
 0.1000000E+00 -0.1380385E-11  0.8519632E-01  0.8608626E-01
 0.1000000E+00 -0.1318256E-11  0.8500462E-01  0.8580055E-01
 0.1000000E+00 -0.1258927E-11  0.8481339E-01  0.8547650E-01
 0.1000000E+00 -0.1202264E-11  0.8435103E-01  0.8512161E-01
 0.1000000E+00 -0.1148155E-11  0.8407388E-01  0.8482535E-01
 0.1000000E+00 -0.1096478E-11  0.8398732E-01  0.8439678E-01
 0.1000000E+00 -0.1047130E-11  0.8355633E-01  0.8408721E-01
 0.1000000E+00 -0.1000000E-11  0.8294349E-01  0.8353857E-01
 0.1000000E+00 -0.9772367E-12  0.8277196E-01  0.8336013E-01
 0.1000000E+00 -0.9549916E-12  0.8256316E-01  0.8322485E-01
 0.1000000E+00 -0.9332549E-12  0.8260425E-01  0.8306199E-01
 0.1000000E+00 -0.9120109E-12  0.8231523E-01  0.8283997E-01
 0.1000000E+00 -0.8912506E-12  0.8224791E-01  0.8253437E-01
 0.1000000E+00 -0.8709628E-12  0.8190524E-01  0.8222339E-01
 0.1000000E+00 -0.8511387E-12  0.8145566E-01  0.8199830E-01
 0.1000000E+00 -0.8317639E-12  0.8123165E-01  0.8190549E-01
 0.1000000E+00 -0.8128302E-12  0.8087383E-01  0.8177140E-01
 0.1000000E+00 -0.7943275E-12  0.8062597E-01  0.8152118E-01
 0.1000000E+00 -0.7762477E-12  0.8047312E-01  0.8122928E-01
 0.1000000E+00 -0.7585778E-12  0.8042009E-01  0.8091058E-01
 0.1000000E+00 -0.7413101E-12  0.8038480E-01  0.8055245E-01
 0.1000000E+00 -0.7244354E-12  0.8003628E-01  0.8030787E-01
 0.1000000E+00 -0.7079464E-12  0.7969406E-01  0.8020719E-01
 0.1000000E+00 -0.6918312E-12  0.7966404E-01  0.8009686E-01
 0.1000000E+00 -0.6760828E-12  0.7926514E-01  0.7983953E-01
 0.1000000E+00 -0.6606930E-12  0.7855923E-01  0.7946371E-01
 0.1000000E+00 -0.6456549E-12  0.7831126E-01  0.7910407E-01
 0.1000000E+00 -0.6309576E-12  0.7828736E-01  0.7877100E-01
 0.1000000E+00 -0.6165949E-12  0.7781322E-01  0.7842027E-01
 0.1000000E+00 -0.6025592E-12  0.7738107E-01  0.7811357E-01
 0.1000000E+00 -0.5888443E-12  0.7751298E-01  0.7790943E-01
 0.1000000E+00 -0.5754402E-12  0.7759587E-01  0.7779528E-01
 0.1000000E+00 -0.5623414E-12  0.7718138E-01  0.7767436E-01
 0.1000000E+00 -0.5495406E-12  0.7683437E-01  0.7741774E-01
 0.1000000E+00 -0.5370312E-12  0.7705850E-01  0.7699049E-01
 0.1000000E+00 -0.5248078E-12  0.7722867E-01  0.7645540E-01
 0.1000000E+00 -0.5128615E-12  0.7667617E-01  0.7594246E-01
 0.1000000E+00 -0.5011870E-12  0.7569361E-01  0.7553595E-01
 0.1000000E+00 -0.4897784E-12  0.7516213E-01  0.7519769E-01
 0.1000000E+00 -0.4786304E-12  0.7519811E-01  0.7487119E-01
 0.1000000E+00 -0.4677352E-12  0.7523572E-01  0.7459237E-01
 0.1000000E+00 -0.4570880E-12  0.7466258E-01  0.7442301E-01
 0.1000000E+00 -0.4466832E-12  0.7375181E-01  0.7432462E-01
 0.1000000E+00 -0.4365162E-12  0.7317638E-01  0.7420015E-01
 0.1000000E+00 -0.4265796E-12  0.7318874E-01  0.7396323E-01
 0.1000000E+00 -0.4168693E-12  0.7340518E-01  0.7355673E-01
 0.1000000E+00 -0.4073800E-12  0.7346846E-01  0.7300281E-01
 0.1000000E+00 -0.3981075E-12  0.7319871E-01  0.7235496E-01
 0.1000000E+00 -0.3890453E-12  0.7279162E-01  0.7171100E-01
 0.1000000E+00 -0.3801893E-12  0.7252373E-01  0.7119241E-01
 0.1000000E+00 -0.3715350E-12  0.7250290E-01  0.7082502E-01
 0.1000000E+00 -0.3630784E-12  0.7239202E-01  0.7056156E-01
