 0.00000E+00 0.43415E-04 0.68293E-04 0.17805E-04 0.21342E-03 0.53415E-03 0.34878E-03 0.45610E-03 0.50244E-03
 0.82000E-03 0.36305E-02 0.57305E-02 0.15009E-02 0.17809E-01 0.44329E-01 0.28615E-01 0.37634E-01 0.41256E-01
 0.16400E-02 0.87232E-02 0.13765E-01 0.36073E-02 0.42768E-01 0.10638E+00 0.68659E-01 0.90305E-01 0.99000E-01
 0.24600E-02 0.16980E-01 0.26790E-01 0.70244E-02 0.83195E-01 0.20676E+00 0.13355E+00 0.17566E+00 0.19259E+00
 0.32800E-02 0.27976E-01 0.44146E-01 0.11583E-01 0.13695E+00 0.34000E+00 0.21971E+00 0.28902E+00 0.31683E+00
 0.41000E-02 0.41732E-01 0.65805E-01 0.17285E-01 0.20395E+00 0.50561E+00 0.32683E+00 0.42988E+00 0.47134E+00
 0.49200E-02 0.58195E-01 0.91756E-01 0.24126E-01 0.28402E+00 0.70280E+00 0.45439E+00 0.59768E+00 0.65524E+00
 0.57400E-02 0.77402E-01 0.12196E+00 0.32122E-01 0.37707E+00 0.93110E+00 0.60207E+00 0.79183E+00 0.86793E+00
 0.65600E-02 0.99305E-01 0.15640E+00 0.41268E-01 0.48268E+00 0.11893E+01 0.76902E+00 0.10117E+01 0.11087E+01
 0.73800E-02 0.12393E+00 0.19506E+00 0.51573E-01 0.60085E+00 0.14765E+01 0.95500E+00 0.12561E+01 0.13763E+01
 0.82000E-02 0.15123E+00 0.23784E+00 0.63024E-01 0.73122E+00 0.17915E+01 0.11590E+01 0.15245E+01 0.16700E+01
 0.90200E-02 0.18122E+00 0.28488E+00 0.75646E-01 0.87366E+00 0.21333E+01 0.13804E+01 0.18156E+01 0.19885E+01
 0.98400E-02 0.21385E+00 0.33598E+00 0.89427E-01 0.10276E+01 0.25004E+01 0.16182E+01 0.21284E+01 0.23306E+01
 0.10660E-01 0.24913E+00 0.39085E+00 0.10439E+00 0.11928E+01 0.28915E+01 0.18716E+01 0.24624E+01 0.26939E+01
 0.11480E-01 0.28707E+00 0.45012E+00 0.12052E+00 0.13690E+01 0.33037E+01 0.21396E+01 0.28146E+01 0.30793E+01
 0.12300E-01 0.33197E+00 0.51995E+00 0.13970E+00 0.15766E+01 0.37879E+01 0.24534E+01 0.32281E+01 0.35308E+01
 0.13120E-01 0.37115E+00 0.58072E+00 0.15657E+00 0.17551E+01 0.41971E+01 0.27195E+01 0.35768E+01 0.39126E+01
 0.13940E-01 0.41680E+00 0.65150E+00 0.17630E+00 0.19618E+01 0.46668E+01 0.30258E+01 0.39782E+01 0.43505E+01
 0.14760E-01 0.46500E+00 0.72593E+00 0.19720E+00 0.21778E+01 0.51536E+01 0.33405E+01 0.43954E+01 0.48032E+01
 0.15580E-01 0.51564E+00 0.80415E+00 0.21931E+00 0.24022E+01 0.56537E+01 0.36675E+01 0.48236E+01 0.52691E+01
 0.16400E-01 0.56883E+00 0.88577E+00 0.24262E+00 0.26358E+01 0.61648E+01 0.40004E+01 0.52627E+01 0.57461E+01
