 0.1000000E+00  0.1000000E-14  0.9147660E-01  0.9453560E-01  0.9472665E-01  0.9137858E-01  0.9425380E-01  0.9362418E-01  0.9332892E-01
 0.1000000E+00  0.1023294E-14  0.9149108E-01  0.9462295E-01  0.9482007E-01  0.9138966E-01  0.9433177E-01  0.9368971E-01  0.9338714E-01
 0.1000000E+00  0.1047130E-14  0.9150358E-01  0.9470794E-01  0.9491455E-01  0.9140238E-01  0.9441251E-01  0.9375720E-01  0.9344599E-01
 0.1000000E+00  0.1071519E-14  0.9151806E-01  0.9479737E-01  0.9501094E-01  0.9141431E-01  0.9449345E-01  0.9382790E-01  0.9350663E-01
 0.1000000E+00  0.1096478E-14  0.9153268E-01  0.9489061E-01  0.9511123E-01  0.9142637E-01  0.9457669E-01  0.9389708E-01  0.9356855E-01
 0.1000000E+00  0.1122019E-14  0.9154708E-01  0.9498361E-01  0.9521193E-01  0.9143876E-01  0.9466138E-01  0.9396850E-01  0.9363130E-01
 0.1000000E+00  0.1148155E-14  0.9156175E-01  0.9507918E-01  0.9531709E-01  0.9145228E-01  0.9474978E-01  0.9404580E-01  0.9369697E-01
 0.1000000E+00  0.1174897E-14  0.9157688E-01  0.9517853E-01  0.9542484E-01  0.9146491E-01  0.9483846E-01  0.9411827E-01  0.9376308E-01
 0.1000000E+00  0.1202264E-14  0.9159266E-01  0.9527964E-01  0.9553528E-01  0.9147867E-01  0.9493048E-01  0.9419622E-01  0.9383151E-01
 0.1000000E+00  0.1230269E-14  0.9160883E-01  0.9538189E-01  0.9564697E-01  0.9149269E-01  0.9502330E-01  0.9427652E-01  0.9390099E-01
 0.1000000E+00  0.1258926E-14  0.9162574E-01  0.9548710E-01  0.9576266E-01  0.9150755E-01  0.9511966E-01  0.9435813E-01  0.9397279E-01
 0.1000000E+00  0.1288249E-14  0.9164219E-01  0.9559532E-01  0.9588096E-01  0.9152218E-01  0.9521767E-01  0.9444208E-01  0.9404590E-01
 0.1000000E+00  0.1318256E-14  0.9165910E-01  0.9570580E-01  0.9600273E-01  0.9153783E-01  0.9531856E-01  0.9453093E-01  0.9412159E-01
 0.1000000E+00  0.1348963E-14  0.9167742E-01  0.9582013E-01  0.9612823E-01  0.9155314E-01  0.9542129E-01  0.9461773E-01  0.9419879E-01
